name,active,comment,info_link,portrait_link
"BENNETT, Muriel Mary",1880-1958,"Collected for Mueller near Sale, Vict",notes,
"BENNETT, R. Mr ^^",fl. 1886,"Collected between Lachlan &amp; Darling Rivers, NSW",,
"BENNETT, S.B. ^^",fl. 1874,"Collected between Surrey Hills &amp; Circular  Head, Tas",,
"BENNETTS, Harold William, Dr",1898-1970,"Veterinary pathologist, author",,
"BENSON, Douglas Howard*",1949-,"Botanist, ecologist",notes,
"BENTHAM, George",1800-1884,"English botanist, author, never visited Australia",notes,portrait
"BERG. Rolf, Dr fl.",1970s,Botanist,,
"BERGGREN, Sven",1837-1917,"Explorer. Professor of botany in Sweden, collected cryptogams",notes,portrait
"BERKELEY, M.J. Rev.",1803 - 1889,Algae collector,,
"BERKTON, Miss",fl. 1886,,,
"BERNAYS, Lewis Adolphus, Dr",1831-1908,"Parliamentary Clerk, horticulturist, collector",notes,portrait
"BERNEY, Frederic Lee ^^",1865-1949,"Pastoralist. Collected at Elderslie, Winton,  Qld, 1897.",,
"BERNHARDI, Theodor ^^",1810-1889,"Collected in Australia. Specimens at B, KIEL, L.",,
"BERRARD, Auguste  (also as Beraud, Bernaud) ^^",fl. 1845,"Captain of LeRhin (q.v.), French naval transport.",,
"BERRY, E. ^^",fl. 1887,"Collected at Fairview, C. York Peninsula, Qld, specimens at BRI.",,
"BERTHON, Elizabeth de Crillon (Lily)",1852-1946,"Landscape painter, collected for Mueller in Vict",notes,
"BERTHOUD, George Frederick (range of surname spellings)",1856-1936,"Horticulturist, collected widely, most states",notes,
"BERTOLI, G. ^^",fl. 1886,"Collected at L.Boort (Avoca), Vic",,
"BESSA, Pancrace",1772-1835,Botanical artist,notes,
"BEST, Dudley Robert William",1844-1928,"Businessman, naturalist",notes,
"BEST, Ellen Ann",1842-1918,"Collected at Beverley &amp; at Youarding near  Toodyay, WA",notes,
"BEST, Heinrich",1893-1961,Microscopical illustrator,,
"BEST, Henry",1843-,,,
"BETCHE, Daniel Ludwig Ernst",1851-1913,"Gardens collector, botanist, writer",notes,portrait
"BEUZEVILLE, Wilfred Alexander Watt de",1884-1954,"Forest ecologist, botanist",notes,
"BEVERIDGE, Peter",1829-1885,Grazier near Swan Hill,notes,
"BEVERLEY, Ednie",1931-,Botanical artist,,
"BEWS, D.M.",fl. 1906-14,Lichen collector,,
"BEYER, George",1865- &gt;1921,Herbarium assistant,notes,
"BEYTHIEN, Ernest ^^",fl. 1880s,"Chemist, Collected plants at Moonta, Paskeville, SA",,
"BIAGI, Guiseppe^^",fl. 1868,"Italian diplomat, collected around Hobart, Blackheath, Blue Mtns.",,
"BIBBY, Patrick Noel Sumner",1907-1955,Botanist,,
"BIBRA, Jane Charlotte von (also von BEBRA)",1822-1882,"Station-owner's wife, near Champion Bay, WA",,
"BICHARD, J. P. ^^",fl. 1890,"Collected fungi at Eight-mile Plain, Qld",,
"BICHENO, James Ebenezer",1785-1851,"Author, Colonial Secretary",notes,portrait
"BICK, Ernest Walter",1870-1949,"Horticulturist, botanic gardens curator",notes,
"BICKFORD, Ernest J.",1862-1940,"Collected  around Perth and at New Norcia,  Mt Eliza, WA",notes,
"BIDDULPH, Alice Caroline (later Mrs Wells)",1873-1971,Collected for Mueller in Qld and WA,notes,
"BIDDULPH, Ellen Caroline (nee Foot)",1855-1917,Collected for Mueller in Qld.,notes,
"BIDDULPH, Florence Francis",1879-1964,Collected for Mueller in Qld.,notes,
"BIDDULPH, Harriette Sophia, Mrs(nee Foot)",1839-1940,"Wife of property owner, Mt Playfair, Qld",notes,portrait
"BIDDULPH, Muriel Margaret",fl 1956-1966,"Amateur collector Mt Playfair, Qld",,
"BIDWELL, J.E.",,,,
"BIDWILL, John Carne",1815-1853,"Horticultural botanist, Gardens Director",notes,
"BIGGS, B. ^^",fl. 1887,"Collected at Rambo, NSW",,
"BIGWOOD, Anthony",fl. 1980,Palaeobotanist,,
"BILLARDIERE, J.J.H. de la see LABILLARDIERE",,,,
"BILLINGHURST, Farncorabe L. ^^",fl. 1890s,"Collected in Vic. at Loddon River,   Trentham",,
"BINGHAM, J. ^^",fl. 1896,"Collected at Balmoral, NSW",,
"BIRCH, Charles Weldon de Burgh(also as Weld Birch)",fl. 1860-80s,"Pastoralist, expedition leader",notes,
"BIRCH, William R.",1922-,"Botanist, phycologist",,
"BIRD, Eric C.P., Dr",fl. 1970s,"Physiographer, ecologist",,
"BIRD, H.",,,,
"BIRD, J. ^^",fl. 1887,"Collected at Scarsdale, NSW",,
"BIRD, L.H.",fl. 1979-1998,Collected in Qld,,
"BIRD, Simon ^^",fl. 1895,"Collected at Eumundi, Qld",,
"BIRNAGE, L.A. ^^",fl. 1879,"Collected at Brisbane, Qld",,
"BISDEE, Elizabeth Anne",fl.1830s,"Wildflower artist, Tas",,
"BISHOP, Frederick James",fl 1956,Botanical photographer,,
"BISHOP, H.G.",,,,
"BISHOP, L. ^^",fl. 1899,"Collected at Narrabri, NSW",,
"BISHOP, T. ^^",fl. 1894,"Collected alga at Shoalhaven R., NSW",,
"BISHOP, William Charles Eli",1922-1989,"Electrical engineer, herbarium volunteer",notes,
"BISSET, W. ^^",fl. 1899,"Collected at Nyngan, NSW",,
"BISSILL, Walter Kirk (often misspelt BISSELL)",1842-1890,"Storekeeper, property owner",notes,
"BLACK, Albert B.",fl. 1917,,,
"BLACK, G., Mrs",fl.1860s,,,
"BLACK, John McConnell",1855-1951,"Journalist, botanist, flora writer",notes,portrait
"BLACK, Lauren",1971-,"Botanical artist, especially mosses, Tas",notes,portrait
"BLACK, Niel (Ned)",1804-1880,"Pastoralist, politician",notes,
"BLACK, Raleigh Adelbert",1880-1963,"Botanist, physical instructor, commercial traveller",notes,
"BLACK, Roger Foster",1923-2008,"Botanist, ecologist",,
"BLACK, Thorby H.",fl. 1943,"Son of Raleigh Black,",,
"BLACKALL, William Edward, Dr",1876-1941,"Botanist, medical practitioner",notes,portrait
"BLACKBURN, David Thomas, Dr",1951-1915,"Palaeobotanist, businessman, SA",notes,
"BLACKBURN, G.",c. 1919- extant 1984,"Ecologist, geophysicist",,
"BLACKBURNE, John",1839 fl.1900s,Public Service Inspector,notes,
"BLACKET, H. (or BLACKETT) ^^",fl. 1897,"Collected at Gosford, NSW; possibly at Ashfield,  Croydon",,
"BLACKMORE, John A.P.",fl. 1960,Orchidologist,,
"BLACKSHAW, A.L.",fl. 1909,Collected in NSW,,
"BLACKWELL, Marion Isabel (nee PEAKE)",1928-,"Botanist, photographer, consultant ",notes,
"BLACKWOOD, Margaret, Dame",1909-,"Botanist, geneticist",,
"BLAKE, H.P. ^^",fl. 1890,Collected in NSW at Coonamble,,
"BLAKE, Stanley Thatcher. Dr",1911-1973,"Botanist, naturalist, writer",notes,portrait
"BLAKE, Trevor Lloyd*",1937-,"Botanist, illustrator",,
"BLAKELY, William Faris",1875-1941,"Gardener, botanist, eucalyptologist",notes,
"BLANDOWSKI, Johann Wilhelm Theodor Ludwig von (also William von)",1822-?1880,"Artist, photographer, naturalist, mining  engineer",notes,portrait
"BLAXELL, Donald Frederick*",1934-,"Botanist, orchidologist, NSW",notes,
"BLAXILL, Susannah",fl.2000s,"Botanical artist, NSW",notes,portrait
"BLAXLAND, Gregory",1778-1853,"Explorer, pioneer farmer. Arrived Sydney, NSW, April 1806",,
"BLAYLOCK, Brian J.",fl. 1965-2005,"Volunteer collector for Sth. Aust. Herbarium, SA",,portrait
"BLEESER, A.E.",,,,
"BLEESER, Florenz August Karl",1871-1942,"Postmaster, naturalist",notes,
"BLENHEIM, J. ^^",fl. 1880,"Collected at Port Curtis, Qld",,
BLEVERLEY,fl. 1860s,"Collected on Melville Is, [NT]",,
"BLIGH, William, Governor",1754-1817,"Naval officer, cartographer, artist, Vice-Admiral, explorer",notes,portrait
"BLOMBERY, Alexander Morris",1913-2002,"Author, garden manager",,
"BLOOMER, Harry Howard",1866-1960,"Accountant, naturalist",,
"BLOW, Thomas Bates ^^",1854-1941,"Made bee-keeping equipment, UK, amateur   Characeae collector NT, WA",,
"BLUNDELL, E.H. ^^",fl. 1895,"Collected at Eumundi, Qld",,
"BLUNDELL, H. Weld ^^",fl. 1882,"Collected at Gordon Downs, Qld",,
"BLYTH, Eliza",1820-1894,"Wildflower artist, art school manager, Tas.",notes,
"BLYTH, Robert",1700s,English engraver for Banks' Florilegium,notes,
"BLYTH, William C.",fl. 1870s,"Lived at 'Honeywood Farm', Huon, Tas, collected for Mueller",,
"BOASE, Isabella (nee Cameron)",1849-1932,"Collected at Murtoa, Vic",notes,
"BODDY, Edward Morton Murray (""Morton"")",1903–1973,"Nursery proprietor (Eastern Park Nursery, Geelong, Victoria)",,
"BODDY, Edward Ralph (""Ralph"")",1933–1989,"Nursery proprietor (Eastern Park Nursery, Geelong, Victoria); son of E.M.M.Boddy",,
"BODDY, Gertrude Mollie (""Mollie"") (n&eacute;e TAYLOR)",1905–1977,"Nursery proprietor (Eastern Park Nursery, Geelong, Victoria); wife of E.M.M.Boddy",,
"BODEN, Robert William, Dr",1935-2009,"Gardens Director, research arboriculturalist",notes,portrait
"BOEHM, E.P.",fl. 1940s,Naturalist,,
"BOFELDT, Anders Tony",1965-2011,"Illawarra rainforest collector, field botanist",notes,portrait
"BOGISCH, ^^",?-1903,"Missionary at Ebenezer Mission, Vict, collected in 1891",,
"BOGOYEVITCH, Marie",f. 2000s,"Biomedical scientist and botanical artist, Vict.",notes,
"BOLAND, Douglas John*",1947-2001,"Forester, seed collector, author",notes,portrait
"BOLTON, J. ^^",fl. 1890,"Collected in Vic. near Mt Abrupt, The Grampians  and in Wimmera",,
"BOND, Ian",fl. 1960s-80s,Photographer,,
"BOND, Richard Wallace",1914-1976,"Botanist, ecologist",,
"BONNEY, F.",fl. 1867-87,"Sent specimens to Mueller from Mt  Murchison, NSW",,
"BONNEY, James Edmund",fl. 1850s,,,
"BONNEY, Joseph",1776-1861,Nursery worker,,
"BONPLAND, Aime Jacques Alexandre",1773-1858,"Gardener, artist",notes,portrait
"BOOMSMA, Clifford David*",1915-2004,"Forest botanist, ecologist",notes,portrait
"BOORMAN, John Luke",1864-1938,"Gardener, herbarium collector",notes,
"BOOTH, Edward Stirling*",1911-,"Botanist, artist",,
"BORCHGREVINK, Carsten Egeberg",1864-1934,"Surveyor, scientist, Antarctic explorer, photographer",notes,
"BOROWITZKA, Lesley Joyce, Dr",1949-,"Botanist, phycologist",,
"BOROWITZKA, Michael Armin, Dr",1948-,"Botanist, phycologist",,
"BORRER, William ^^",1781-1862,"Botanist, lichen collector, did not visit Australia",,
"BORY DE ST VINCENT, Jean Baptiste George Marcellin, Baron de",1778-1846,"Zoologist, botanist, military officer ",notes,portrait
"BOSISTO, Joseph",1827-1898,"Research chemist, parliamentarian",notes,portrait
"BOSTON, R.",fl. 1888,"Collected lichen at Dandenong, Vic",,
"BOSTON, R.H. (Possibly mis-reading of Bastow?) ^^",fl. 1899,"Collected lichen on Mt Wellington, Tas.",,
"BOSWELL, Annabella Alexandra Campbell (nee Innes)",1826-1916,"Wildflower painter, diarist",notes,
"BOTT, Harold",1880-1957,Mining engineer,notes,
"BOUEL, C. ^^",fl. 1881,"Collected at Endeavour R., Qld",,
"BOUGAINVILLE, Hyacinthe-Yves-Philippe-Potentien  de",1781-1846,"French naval officer, navigator.",notes,
"BOULEY, de, Dr. ^^",fl.1867-72,"Collected on NW coast, WA, specimens  at BM",,
"BOULTON, T.",fl. 1906,Lichen collector,,
"BOUNE, J.O. ^^",fl. 1887,"Collected on Snowy River, Vic.",,
"BOUQUET, Louis",fl. 1800-1817,Botanical engraver,notes,
"BOUTON, A.F. (also given as BONTOU) ^^",fl. 1890-91,"Collected on [upper] Lachlan River, NSW",,
"BOWDEN, Isobel, Miss",,Botanist,,
"BOWEN, D. ^^",fl. 1882,"Collected at Buxton, Vic",,
"BOWEN, Eliza Theresa (nee Campbell)",1848-1939,"Collected at Cape Portland, Tas.",notes,
"BOWER, Colin",1948-,"Orchid collector, conservationist",notes,portrait
"BOWER, Dr. ^^",fl. 1858,Collected in SW Australia. Specimen at K.,,
"BOWKETT, Eva F. ^^",fl. 1883-90,"Collected in Qld at Walsh R., Hodgkinson R.,  Herbert R.",,
"BOWMAN, Edward Macarthur",1826-1872,"Station worker, botanical collector, esp. for  Mueller",notes,
"BOYCE, John Shaw",1889-,,,
"BOYCE, Max W.",fl. 1970s,Botanist,,
"BOYCE, W.",fl. 1940s,,,
"BOYD, A.J. ^^",fl. 1881,"Collected fungi at Redlands Bay, Qld",,
"BOYD, Emma Minnie",1858-1936,"Landscape and genre artist, occasionally painted flowers",notes,
"BOYD, T. ^^",fl.1894,"Collected at Lake Macquarie, NSW",,
"BOYLAND, Desmond Ernest*",1941-,Botanist (forestry),,portrait
"BOYLE, A.C.",fl. 1935,Collected in Qld,,
"BOYLE, David",1821-1900,"Nurseryman, artist",notes,
"BRACKENRIDGE, William Dunlop",1810-1893,"Scientist, fern collector, US expeditioner",notes,
BRADBURY,fl. 1904,,,
"BRADHURST, Peggie J., Miss",fl. 1980s,Illustrator,,
"BRADLEY, Henry Houghton Burton",1845-1918,"Lawyer, horticulturalist, naturalist",notes,
"BRADLEY, Patricia B., Mrs",fl. 1980s,Botanist,,
"BRADSHAW, Joseph",1854-1916,"Businessman, pastoralist. Led expedition in Kimberley, WA",notes,
"BRADY, ^^",fl. 1895,"Collected at Booral, NSW",,
"BRAIN, J.H. ^^",fl.,Collected in NSW Specimen al K.,,
"BRAINE, Arthur Belgrave",1854-1945,"Teacher, orchidologist",notes,
"BRAITHWAITE, G.",,,,
"BRAN, L.G. ^^",fl. 1887,"Collected at Cumberland, Qld, May 1887",,
"BRAND, Arthur ^^",1860-,"Storekeeper, newspaper proprietor, pastoralist,   Warracknabeal. Collected  1885.",,
"BRASS, Leonard John, Dr",1900-1971,"Explorer, botanist, SE Asia, PNG, Qld",notes,portrait
"BRATT, Geoffrey C.",fl. 1960s,Lichen collector,,
"BRAY, J. ^^",fl. 1892-95,"Collected in NSW at Port Jackson 1892, Sydney  1895",,
"BRAY, J.S.",fl. 1830s,,,
"BRAZIER, John William",1842-1930,"Conchologist; at Australian Museum, Sydney",notes,portrait
"BREADEN, A. (?Allan) ^^",fl. 1887,"Collected near Mt Burrell, NT",,
"BREAKWELL, Ernest (? J.)",1885-1952,"Agronomist, author",notes,
"BREEDEN, Stanley",fl. 1970s,Naturalist,,
"BREGENZER, H. ^^",fl. 1886,"Collected at Ballarat, Vic.",,
"BREIDAHL, Harald Theadore ^^",1853-?,"Danish chemist, collected mosses in Aust. 1889-1912",,
"BRENT, Francis ^^",fl. 1850,"Marine zoologist, collected some algae in WA",,
"BRESLIN, Bethany",fl. 2000s,"Botanical artist, NSW",notes,
"BRETELER, F.J. ^^",fl. 1889,"Collected S of Taree, NSW",,
"BRETON, William Henry, Lieut. ^^",fl. 1830-43,"Explorer, Naval Officer, collected NSW, WA, Tas",,
"BRETT, Robert Lindsay Gordon",1898-1975,High School Superintendent eucalyptologist,notes,
"BREWER, James Alexander",1818-1886,Postmaster,notes,
"BREWSTER, Agnes A.",fl. 1907-09,Botanist,,
"BREWSTER, R. ^^",fl. 1875,"Collected near Penola, SA",,
"BREWSTER, S. [?A.)",fl. 1907-09,,,
"BRIDGE, Cyprian A.G., Capt.",fl. 1884,Naval officer,,
"BRIDLE, G. ^^",fl. 1896,"Collected on Preston River, WA",,
"BRIGGS, Barbara Gillian, Dr*",1934-,"Herbarium botanist, biosystematist, NSW",notes,portrait
"BRIGGS, John D. ",1954–,"Ecologist, rare and threatened plant specialist, ACT, NSW",,portrait
"BRIGGS, Walter E.",1866/7-1948?,"Forester, collected at Muttaburra, Warrego, Qld, 1886-90",,
"BRINTALL, S.E.",fl. 1914,,,
"BRITTAN, Norman Henry, Dr*",1920-,"Botanist, illustrator",,
"BRITTLEBANK, Charles Clifton",1862-1945,"Illustrator, naturalist, mycologist",notes,
"BRITTON,  Edward",,Botanist,,
"BROADBENT, J. ^^",fl.1892,"Collected at Mitta Mitta, Vic",,
"BROCK, John",1951-,"Photographer, author, conservationist, NT",,portrait
"BROCK, Margaret Anne",1951-,Botanist,,
"BROCKLEBANK, L.",,,,
"BROCKMAN, Frederick Slade",1857-1917,"Explorer, Surveyor-General of WA",notes,
"BROCKMAN, George Julius (also as C.J.)",1850-1912,Pastoralist north-west WA,notes,portrait
"BROCKWAY, George Ernest Emerson",1900-1973,"Forester, eucalyptologist",notes,portrait
"BROGDEN, James ^^",fl. &lt;1857,Collected in Australia; 85 specimens  sold in London; now at CGE.,,
"BROMFIELD, C.W. ^^",fl. 1890,"Collected on Delatite River, Vic",,
"BRONGNIART, Adolphe",1801-1876,Palaeobotanist,,portrait
"BROOKER, Murray Ian Hill*",1934-2016,"Botanist, eucalyptologist",notes,portrait
"BROOKES, G. B.",1868-?,"Agriculture Dept worker, Qld.",notes,
"BROOKING, J. ^^",fl. 1887,"Collected toxic plants in WA, specimens  at MEL",,
"BROOKS, John Paul",1848-1930,Pastoralist,notes,
"BROOKS, Sarah Theresa, Miss",1850-1928,"Artist, algae collector, Vict, WA.",notes,
"BROOM, R. ^^",fl. 1891-94,"Collected at Muldiva, Bolwarra Stn, Herbert R,  Qld; Cudal, NSW",,
BROOME,,Palaeobotanical collector,,
"BROOME, Mary Anne (nee STEWART)",1831-1911,"Author (as 'Lady Barker'), collected seaweeds",notes,
"BROTHERTON, Anna Mary Winifred, Miss",1874-1956,"Collected in Vic;  Barker Ck, Loddon R. Castlemaine, Mt Alexander",notes,
"BROUGH, Patrick",1885-,Botanist,,
"BROWN, Andrew Phillip",1951-,Orchidologist,,
"BROWN, Clarence Dircksey ^^",1864-19?,"Pearler, station-hand, overseer; Fortescue WA",,
"BROWN, Elizabeth Anne",1956-2013,"Herbarium botanist, specialising in bryophytes, NZ, NSW",notes,portrait
"BROWN, F.H.",fl. 1898,(possibly entry below?),,
"BROWN, Forest Buffon Harkness ^^",1873-1959,"Collected at Merrigoen [Merrygoen] near Mudgee, NSW",,
"BROWN, G.R. ^^",fl. 1892-99,Forester. Collected in NSW at Port Macquarie etc,,
"BROWN, Geoffrey Wilfred",1891-,Collected near Greenhills WA,,
"BROWN, George",1835-1917,"Methodist missionary, Pacific and Aust",notes,portrait
"BROWN, Henry Yorke Lyell (? initials H.I.L)",1844-1928,"Government geologist, WA, SA, NSW, NZ",notes,portrait
"BROWN, J. ^^",fl. 1890,"Collected at Tewantin, Qld",,
"BROWN, John Ednie",1848-1899,"Forest conservator, botanist",notes,portrait
"BROWN, John Mrs. ^^",fl. 1895,"Specimens collected at Casdereagh River, NSW",,
"BROWN, Joseph Tilley ^^",1845-1925,"Businessman, politician. Had property at Echuca",,
"BROWN, Kenneth ^^",1837-76,"Pastoralist at Glengarry near Geraldton, WA, expeditioner",,
"BROWN, Lucy (nee Clifton) ^^",1830-1906,"Collected seaweeds for Harvey, Vasse, WA",,
"BROWN, Maitland",1843-1905,"Resident Magistrate, explorer",notes,
"BROWN, Malcolm",1938-,"Teacher, orchid collector, north Qld",notes,
"BROWN, Michael James*",1945-,Botanist,,
"BROWN, R.J. ^^",fl. 1891,"Collected at Bargo, 'Camborn', NSW",,
"BROWN, Raymond",1947-,"Nurseryman, Grevillea Garden manager",,
"BROWN, Robert",1773-1858,"Naturalist, botanist with Flinders' voyage, author, librarian (botany)",notes,portrait
"BROWN, Robert H., Dr",,,,
"BROWN, Robert Neal Rudmore",1879-?,,,
"BROWN, Thomas ^^",1836-1919,"Pastoralist. Vic,  SA, explored   NT, settled at Nullarbor Stn",,
"BROWN, William",fl.1885,,,
"BROWN, William ^^",fl. 1788,"Botanical assistant, gardener, on HMS Bounty with Bligh",,
"BROWN, William T. or P. [Either initial on plant labels]",fl. 1925,,notes,
"BROWNE, J. Stuart ^^",fl. 1874-77,"Collected at Port Lincoln, SA,  also possibly  Nullarbor Plain 1891",,
"BROWNE, James Howard*",1919-2004,"Shire gardener, Victoria",notes,portrait
"BROWNE, John Harris, Dr",1817-1904,"Surgeon, pastoralist, naturalist, author",notes,portrait
"BROWNE, Margaret Marie [Maria], (nee  RILEY ) ^^",fl. 1893,Wife of squatter on Murrumbidgee River later police  magistrate  in NSW,,
"BROWNLESS, T.H. ^^",fl. 1887,"Collected at Deniliquin, NSW",,
"BROWNSCOMBE, W.S.",fl. 1901-1907,"Colected in NSW, Vic",,
"BRUBAKER, Curt L.",fl. 1990-2000s,"Plant systematist, CSIRO",,portrait
"BRUCE, John Leek",1850-1921,"Sanitary engineer, teacher",notes,
"BRUCKNER, John (Johannes) ^^",fl. 1885,"Collected at Mossgiel between Darling &amp;  Lachlan Rivers, NSW",,
"BRUMBY, Rebecca ^^",fl. 1885-95,Collected for Mueller in NSW and Victoria,,
"BRUMBY. F., Miss ^^",fl. 1875-90,"Collected in Tas. at Georges Bay, Thomas  Plain, Perth, Hamilton-on-Forth",,
"BRUMMITT, Richard Kenneth, Dr",1937-2013,"Botanist, author, nomenclaturist, based at Kew, collected in Australia",,
"BRUMMITT, Robert, Dr",1851-1927,"Medical practitioner, Burra, SA",notes,
"BRUNDOCH, Miss ^^",fl. 1885,"Collected on upper Clarence R., NSW",,
"BRUNT, W. ^^",fl. 1886,"Collected at Cranbourne, Vic",,
"BRYAM, W.J. ^^",fl. 1898,"Collected freshwater algae at Brisbane, Qld",,
"BRYANT, H.",fl. 1974-1980,Collected in NSW,,
"BRYANT, Mrs",,Herbarium assistant,,
"BRYMER, Miss ^^",fl. 1897-98,"Collected at Hopetoun, Vic",,
"BRYSON, J. ^^",fl. 1897,"Collected at Brushy Mountain near Gloucester, NSW",,
"BUCHAN, Alexander",-1769,Botanical artist,,
"BUCHANAN, A.M.",1944-,"Herbarium botanist, Tas",,
"BUCHANAN, D. ^^",fl. 1894,"Collected at Mackay, Qld",,
"BUCHANAN, J. ^^",fl. 1886,Collected ferns in NSW,,
"BUCHANAN, J.H. ^^",fl. 1896,"Collected at Challie near Horsham, Vic",,
"BUCHANAU, G. ^^",fl. 1888,"Collected at Manly, NSW",,
"BUCHER, W. ^^",fl. 1896,"Collected near Henty, Vic",,
"BUCHINGER, Jean Daniel ^^",1805-1888,Cited by Beck (1888) as a collector in Australia  but apparently in error,,
"BUCK, E. (? Elizabeth nee Harman) ^^",1827-1905,"Collected at Kangaroo Island, SA, husband mariner Kingscote",,
"BUCKINGHAM, W. ^^",fl. 1886-99,"Collected in NSW at Bondi, lichens at  Wahroonga",,
"BUCKLAND, Thomas ^^",1814-96,"Merchant, pastoralist, arrived NSW 1830, travelled widely, incl. Monaro, Dubbo",,
"BUCKLAND, Victor ^^",fl. 1890-94,"Collected on Thompson R, Qld",,
BUCKLER,,,,
BUCKLEY (? A.K.) ^^,fl. 1895,"Collected at junction of Ovens &amp; Murray  Rivers,Vic",,
"BUCKNALL, H. ^^",fl. 1878,"Collected at Tulgollni (?), Majorca, Vic",,
"BUETTNER, ^^",fl. 1848,"Collected on Gawler River, SA",,
"BUFTON, John, Rev.",1855-1911,"Clergyman, collected in Tasmania, NSW, also collected fossils",notes,
"BULFIN, Margaret",fl. 1970s,Botanist,,
"BULL, Henrietta Ann  [Mary] (nee Wells) ^^",1830-,"Wife of Henry Bull, pioneer settler in WA,  collected specimens for James Mangles",,
"BULL, William Perkins ^^",1819-82,"Collected (including mosses) at Tumbarumba, NSW",,
"BULLER, G.A.",fl. 1890,"Collected on Hunter River, NSW",,
"BULLOCK, Katherine Sarah Mrs (nee Baker)",?-1907,"Collected in Wimmera, Vic, upper Darling  &amp; Warrego Rivers, Qld/NSW",notes,
